timestamp,x,y,z,qx,qy,qz,qw
48.896,-0.15983207834972327,-0.5063123405043913,0.20770350911984972,-0.009273202276442625,0.004879335199440319,0.9987231010982552,0.04942031100909802
48.901,-0.15983390296413996,-0.5063128807208269,0.20770376553915365,-0.009269827221241282,0.004884288531424199,0.9987228964632481,0.049424590123648186
48.906,-0.15983572311539926,-0.5063134421230447,0.2077040202696244,-0.009266540928776617,0.004889160395271433,0.998722685235909,0.04942899275748924
48.911,-0.15983753228757688,-0.5063140198311802,0.20770426834854747,-0.009263186415761739,0.004894135928283602,0.9987224749634712,0.04943337752754636
48.916,-0.15983934866755753,-0.5063146115970807,0.2077045172173186,-0.009259842780486093,0.004899108201669984,0.99872227354666,0.04943758056680543
48.921,-0.15984117442033974,-0.5063152259385048,0.20770476840805271,-0.009256568672168555,0.0049038698885314515,0.9987220658244734,0.049441917760441795
48.926,-0.15984298588692394,-0.5063158560408242,0.2077050213423113,-0.00925330968045823,0.004908820008956048,0.998721858534591,0.04944622363022339
48.931,-0.15984480634222983,-0.506316502174698,0.2077052707742941,-0.009250049640225563,0.004913701800529254,0.9987216561008021,0.0494504373240543
48.936,-0.15984661151626464,-0.5063171645081176,0.2077055238298148,-0.009246926806999088,0.004918672574971051,0.9987214505574433,0.04945467825355393
48.941,-0.15984841409524075,-0.5063178386742511,0.20770577166198864,-0.009243703097306686,0.004923655658283662,0.9987212495863338,0.049458843422786024
48.946,-0.15985022568825755,-0.5063185296688911,0.20770601715040102,-0.009240442363054817,0.004928456640031896,0.9987210546636821,0.04946291046375155
48.951,-0.1598520230094505,-0.506319244915011,0.20770627114096674,-0.009237442023528926,0.004933450494405907,0.9987208505276826,0.04946709464223436
48.956,-0.15985378493109348,-0.5063199814871259,0.20770652445254156,-0.009234348809240964,0.004938438738506811,0.9987206453355896,0.04947131699640672
48.961,-0.15985551344735455,-0.5063207320563053,0.20770677692493378,-0.009231170803022437,0.004943568524375655,0.9987204411282044,0.04947552009362957
48.966,-0.15985725619420443,-0.5063214947387568,0.20770703220157596,-0.009228063490016104,0.004948621103368401,0.9987202445946056,0.049479561743114756
48.971000000000004,-0.15985899621397348,-0.5063222702362459,0.20770728966199908,-0.009224876300099412,0.004953495463884225,0.9987200539054848,0.049483517124015684
48.976,-0.15986071200320556,-0.5063230644695177,0.20770754911334882,-0.009221841311907427,0.004958487410133231,0.9987198560322724,0.04948757634294288
48.981,-0.15986241058636896,-0.5063238658058007,0.20770780222293136,-0.009218792956514291,0.0049635694001466885,0.9987196625190814,0.04949154001450443
48.986,-0.1598640918386809,-0.5063246783446314,0.20770805705590073,-0.009215736028229326,0.004968655074016377,0.9987194687853616,0.04949550833458375
48.991,-0.15986575069527725,-0.5063255009633495,0.2077083157809383,-0.00921272506363443,0.004973847712958204,0.998719275259978,0.04949945211832912
48.996,-0.159867392760499,-0.506326335086442,0.20770858077188623,-0.009209524174357423,0.004978580675060708,0.9987190849193301,0.04950341217370731
49.001,-0.15986902296038574,-0.5063271786588377,0.20770884458683536,-0.009206445458410775,0.004983638102808392,0.9987188845307003,0.04950751857077337
49.006,-0.15987065715601087,-0.5063280218758979,0.20770909721855613,-0.00920323877507704,0.004988406166859428,0.9987186797918254,0.04951176461041336
49.011,-0.15987230112181228,-0.5063288536364721,0.20770934122155704,-0.009200133195894094,0.004993442113318453,0.9987184733412187,0.04951599834421591
49.016,-0.15987393906264277,-0.5063296729247816,0.20770958732174946,-0.00919704080676382,0.004998341279556817,0.9987182636474367,0.04952030777268259
49.021,-0.1598755870749434,-0.5063304707183833,0.20770981616185866,-0.009193909044581571,0.005003236297192296,0.9987180575398742,0.04952455155591836
49.026,-0.15987724311008544,-0.5063312546258254,0.20771004374832377,-0.009190853769279375,0.005008010814037465,0.9987178533011787,0.04952875459935959
49.031,-0.15987891020169567,-0.5063320295933088,0.20771027891574878,-0.009187650055774049,0.005012649767044522,0.9987176561250113,0.04953285548935507
49.036,-0.1598805714261249,-0.5063328057324081,0.20771052394518846,-0.0091847359011459,0.00501771334308205,0.9987174500272058,0.04953703857103857
49.041,-0.15988222420056292,-0.5063335839173595,0.20771078703112483,-0.009181723979115512,0.005022556118534409,0.9987172435275835,0.04954126921540354
49.046,-0.15988385620735668,-0.5063343666447137,0.20771105729333075,-0.009178712914165821,0.00502743562017704,0.998717034029693,0.04954555539357183
49.051,-0.15988548180836593,-0.5063351498839276,0.20771132214254712,-0.009175571772578679,0.005032416304125565,0.9987168262141161,0.049549820439546415
49.056,-0.15988709415906183,-0.5063359398894783,0.20771159805266928,-0.00917256384844658,0.0050372958838066865,0.998716614460355,0.04955414940720986
49.061,-0.15988868445229945,-0.5063367323860098,0.20771186771114294,-0.009169481106134416,0.005042210790589995,0.9987164017537756,0.04955850678318257
49.066,-0.15989026484583535,-0.5063375269600753,0.2077121443215455,-0.009166305347037456,0.005047097012742522,0.9987161915315579,0.049562833158823566
49.071,-0.1598918372659072,-0.506338328970145,0.20771242345999544,-0.009163342206851277,0.005052047249158901,0.9987159765197338,0.04956720914503033
49.076,-0.15989340057699097,-0.5063391323790727,0.2077126878251491,-0.009160370339387207,0.005057177841757471,0.9987157619907805,0.04957155755770765
49.081,-0.15989493798214885,-0.506339943137215,0.20771296123745828,-0.009157261748563406,0.005062069338254442,0.9987155472911082,0.049575957986763286
49.086,-0.15989646036518335,-0.5063407590553767,0.2077132296409095,-0.009154106001532976,0.005067122196099626,0.9987153353119254,0.04958029476264721
